idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.772,148.102,21.690,100,99.610,100,3
0.710,28.137,8.940,99.940,100,100,4
0.703,43.659,93.390,91.920,89.670,50,1
0.750,48.656,29.690,96.220,90.890,99.450,3
0.725,101.021,50.460,100,100,82.590,2
0.744,16.369,32.160,80.290,55.360,100,2
0.849,56.802,25.480,97.190,92.500,100,3
0.705,42.780,29.700,100,98.720,100,3
0.682,0.01,28.900,82.120,48.870,100,2
0.682,71.702,18.300,100,94.360,100,3
0.698,71.667,18.750,82.730,82.230,100,3
0.726,18.515,33.290,87.370,87.370,100,3
0.683,97.847,15.110,89.850,86.940,100,3
0.729,5.329,37.060,79.040,60.820,100,2
0.701,82.259,24.320,76.890,76.890,100,3
0.712,100.008,16.690,100,97.230,100,3
0.669,18.961,13.920,65.660,64.050,100,3
0.721,92.678,22.840,95.860,94.870,100,3
0.800,11.569,48.130,100,100,48.890,1
0.709,19.497,10,96.420,96.420,0.01,2
0.715,150.477,7.500,85.770,85.770,100,3
0.780,20.639,45.370,78.710,74.770,56,1
0.745,59.335,50.550,79.390,79.390,100,2
0.762,57.690,29.180,96.500,93.340,100,3
0.693,19.624,29.890,85.250,67.500,100,3
0.681,0.01,29.120,76.830,72.800,100,3
0.683,24.131,17.020,100,98.050,100,3
0.735,13.818,31.350,98.550,85.730,0.01,2
0.697,96.200,13.490,92.910,90.020,100,3
0.662,20.639,30.790,82.500,53.980,100,2
0.717,0.01,21.530,62.600,40.940,66.600,2
0.782,24.731,35.190,98.070,96.920,100,3
0.751,2.876,18.230,99.680,32.010,100,2
0.723,53.050,40.080,93.470,93.470,85,3
0.675,0.01,26.730,74.200,74.050,100,3
0.634,0.01,17.680,91.180,76.420,100,3
0.788,15.944,45.790,96.980,97.030,100,3
0.763,9.594,28.190,100,96.720,1.830,2
0.671,112.803,3.090,68.190,67.230,100,3
0.718,34.831,23.610,71.290,64.300,100,3
0.627,51.335,19.210,66.740,66.740,0.01,2
0.686,8.962,32.210,98.880,98.730,100,3
0.730,40.979,0.01,0,0.01,0,1
0.745,3.614,30.460,90.500,88.690,34.380,2
0.761,3.291,27.820,100,74.220,100,3
0.699,110.011,15.680,96.970,96.810,100,3
0.771,28.548,17.380,99.910,100,100,3
0.786,10.410,45.200,88.960,72.430,81.200,2
0.746,209.795,12.960,97.160,95.700,100,3
0.674,0.01,14.330,63.010,61.350,100,2
0.688,43.293,19.960,100,100,100,3
0.751,46.036,28.140,100,98.180,100,3
0.737,78.824,0.01,93.540,92.420,100,4
0.690,67.408,13.820,32.170,31.990,100,1
0.746,21.884,23.490,100,100,100,3
0.693,18.193,21.700,79.270,75.040,100,3
0.676,171.527,24.870,77.760,63.460,100,3
0.676,13.390,11.100,100,100,100,4
0.736,64.683,24.980,100,100,100,3
0.762,60.898,26.590,100,100,90,3
0.617,0.01,22.130,42.240,26.550,100,1
0.625,13.103,28.760,44.690,36.490,100,1
0.762,15.468,20.530,100,100,100,3
0.711,27.125,20,98.890,98.890,0.01,2
0.791,88.814,33.880,100,92.900,52.130,2
0.696,2071.302,17.310,90.550,90.350,100,2
0.766,53.985,11.810,88.440,88.190,75.760,3
0.800,20.564,49.220,100,100,4.860,1
0.756,12.894,38.500,100,100,45,2
0.706,99.834,16.260,93.610,93.210,100,3
0.713,233.017,21.660,95.060,93.960,100,3
0.727,38.626,27.770,88.300,59.100,100,2
0.743,24.640,25.860,96.550,96.550,100,3
0.743,31.229,45.190,100,100,100,3
0.710,12.145,28.330,56.180,49.300,99.910,2
0.692,6.659,0.01,0,0.01,0,1
0.741,24.093,20.020,100,97.050,100,3
0.700,8.389,15.310,59.410,53.370,100,2
0.757,8.042,24.520,91.890,79.860,100,3
0.716,11.545,16.720,87.370,86.030,1.610,2
0.605,50.201,29.130,66.490,63.980,100,2
0.712,0.01,17.990,100,99.760,100,3
0.723,61.627,15.110,100,100,100,3
0.710,55.679,40.280,90.130,90.130,100,3
0.674,37.272,12.730,100,100,100,3
0.790,16.877,36.020,100,97,100,3
0.772,9.969,18.550,99.150,89.730,100,3
0.725,87.093,15.690,89.180,87.440,100,3
0.702,34.614,13.690,93.770,78.020,100,3
0.738,31.649,4.560,99.700,99.700,100,4
0.724,20.296,24.670,100,100,100,3
0.642,15.026,22.810,89.590,83.050,100,3
0.736,127.307,6.720,99.210,99.210,100,4
0.743,110.767,23.690,88.060,87.700,100,3
0.667,23.568,30.940,86.520,86.520,100,3
0.717,11.898,25.410,76.730,66.910,100,3
0.754,4.210,31.060,100,97.290,99.350,3
0.733,38.712,26.270,98.490,89.630,99.660,3
0.701,215.687,77.910,69.560,69.560,15,1
0.714,89.671,24.710,86.870,86.870,0.01,2
0.682,23.849,17.420,86.070,76.960,100,3
0.740,1.946,26.790,99.690,80.120,8.540,2
0.665,168.180,35.450,100,45.070,0.01,1
0.713,12.831,38.330,100,94.560,0.01,2
0.658,21.057,27.930,83.110,66.990,100,3
0.714,424.689,11.460,99.280,99.280,0.01,1
0.693,98.511,20.610,93.720,92.810,100,3
0.687,0.01,17.400,93.070,76.210,100,3
0.829,18.619,21.500,98.090,94.760,89.560,3
0.733,14.028,36.570,80.270,64.490,100,2
0.761,7.633,19.240,62.280,53.400,100,2
0.670,20.012,0.01,99.360,99.360,35.630,3
0.677,31.895,28.850,87.760,72.410,100,3
0.646,38.432,23.010,95.640,85.030,100,3
0.701,41.473,27.240,93.370,93.150,100,3
0.747,178.635,14.690,95.070,93.890,100,3
0.658,18.896,0.01,0,0.01,0,1
0.675,33.957,25.280,94.990,84.770,100,3
0.673,42.888,24.930,88.410,68.440,100,3
0.744,12.416,19.040,94.500,89.220,36.640,2
0.735,79.424,32.920,82.620,69.810,100,3
0.721,19.098,39.410,100,85.060,55.070,2
0.695,210.543,11.280,100,98.490,100,3
0.727,127.785,27.470,99.540,99.540,86.790,3
0.680,39.920,9.860,88.460,82.510,100,4
0.688,98.745,24.790,99.990,75.460,100,3
0.767,133.064,18.100,97.250,97.250,78.860,3
0.734,38.192,15.190,100,99.550,100,3
0.749,21.400,6.690,79.110,79.110,100,3
0.710,94.101,2.860,98.950,93.110,70.270,3
0.758,12.048,34.010,92.550,90.140,100,3
0.715,59.864,14.340,86.060,68.060,100,3
0.720,40.306,36.900,100,83.290,98.530,3
0.713,507.328,53.870,92.150,88.600,100,1
0.704,57.097,17.520,95.320,95.320,100,3
0.720,26.976,47.950,90.090,90.090,100,3
0.689,16.088,26.990,98.290,95.720,100,3
0.699,84.887,0.01,98.790,97.900,92.880,4
0.725,11.099,24.430,77.500,69.310,100,3
0.754,16.112,15.270,89.820,98.800,0.01,2
0.704,32.632,13.950,87.340,85.810,100,3
0.653,107.875,32.530,94.300,87.870,100,3
0.728,0.01,30,53.420,53.420,100,2
0.746,8.166,13.460,96.630,91.190,0.01,2
0.705,41.107,0.01,100,100,100,4
0.789,15.378,31.740,100,55.750,48.070,2
0.737,39.349,26.200,97.510,97.510,100,3
0.723,11.471,28.470,72.260,72.260,100,3
0.698,97.752,19.290,93.210,91.450,100,3
0.742,226.472,59.240,100,97.450,3.100,1
